time_ps,RMSD_conformation_A,heavy_geometric_radius_A,series,included
730.0,1.2366588,5.2983875,bound_09h_1ns,True
732.0,1.1041722,5.3030224,bound_09h_1ns,True
734.0,1.3961611,5.049312,bound_09h_1ns,True
736.0,1.3545853,5.1511626,bound_09h_1ns,True
738.0,1.4503603,5.2076426,bound_09h_1ns,True
740.0,1.474396,5.2318006,bound_09h_1ns,True
742.0,1.042973,5.2221403,bound_09h_1ns,True
744.0,1.2146817,5.194559,bound_09h_1ns,True
746.0,1.1846217,5.105538,bound_09h_1ns,True
748.0,1.1152825,5.109635,bound_09h_1ns,True
750.0,1.1106297,5.2089305,bound_09h_1ns,True
752.0,1.1044515,5.228075,bound_09h_1ns,True
754.0,0.9454719,5.164227,bound_09h_1ns,True
756.0,1.0088651,5.1847224,bound_09h_1ns,True
758.0,1.0874014,5.0989084,bound_09h_1ns,True
760.0,0.9916446,5.2264013,bound_09h_1ns,True
762.0,0.91200346,5.262355,bound_09h_1ns,True
764.0,1.060628,5.197855,bound_09h_1ns,True
766.0,0.9602975,5.2332683,bound_09h_1ns,True
768.0,0.9231038,5.2474623,bound_09h_1ns,True
770.0,1.0741906,5.231888,bound_09h_1ns,True
772.0,0.9551227,5.251547,bound_09h_1ns,True
774.0,1.1007192,5.179877,bound_09h_1ns,True
776.0,1.0746182,5.2085752,bound_09h_1ns,True
778.0,1.0312426,5.220771,bound_09h_1ns,True
780.0,0.9703022,5.273673,bound_09h_1ns,True
782.0,1.203628,5.2087793,bound_09h_1ns,True
784.0,0.88610697,5.3426113,bound_09h_1ns,True
786.0,1.3650188,5.1830997,bound_09h_1ns,True
788.0,1.3330954,5.1836033,bound_09h_1ns,True
790.0,1.3262353,5.2349815,bound_09h_1ns,True
792.0,1.3576268,5.2386947,bound_09h_1ns,True
794.0,1.3573669,5.1605296,bound_09h_1ns,True
796.0,1.2547352,5.237952,bound_09h_1ns,True
798.0,1.346252,5.3293777,bound_09h_1ns,True
800.0,1.0899724,5.227955,bound_09h_1ns,True
802.0,1.0241001,5.187326,bound_09h_1ns,True
804.0,1.1614336,5.1602974,bound_09h_1ns,True
806.0,1.0942628,5.212778,bound_09h_1ns,True
808.0,1.0833331,5.175753,bound_09h_1ns,True
810.0,1.05032,5.175416,bound_09h_1ns,True
812.0,1.3806224,5.273341,bound_09h_1ns,True
814.0,1.0919902,5.2584715,bound_09h_1ns,True
816.0,1.2358255,5.3564353,bound_09h_1ns,True
818.0,0.9510302,5.1827583,bound_09h_1ns,True
820.0,1.3030432,5.2937756,bound_09h_1ns,True
822.0,1.0092322,5.254767,bound_09h_1ns,True
824.0,1.0666087,5.222374,bound_09h_1ns,True
826.0,0.94853336,5.2953663,bound_09h_1ns,True
828.0,1.2049583,5.198951,bound_09h_1ns,True
830.0,0.8616395,5.2040477,bound_09h_1ns,True
832.0,1.0012822,5.2805347,bound_09h_1ns,True
834.0,1.502447,5.296781,bound_09h_1ns,True
836.0,1.2696439,5.2767363,bound_09h_1ns,True
838.0,1.1568727,5.288726,bound_09h_1ns,True
840.0,1.6090685,5.2579107,bound_09h_1ns,True
842.0,1.7436285,5.231359,bound_09h_1ns,True
844.0,1.4091835,5.2854786,bound_09h_1ns,True
846.0,1.6529436,5.268522,bound_09h_1ns,True
848.0,1.6940973,5.2536464,bound_09h_1ns,True
850.0,1.8116958,5.3126745,bound_09h_1ns,True
852.0,1.7791234,5.278717,bound_09h_1ns,True
854.0,1.3423668,5.2310014,bound_09h_1ns,True
856.0,1.8146683,5.297161,bound_09h_1ns,True
858.0,1.4296665,5.2671123,bound_09h_1ns,True
860.0,1.4955271,5.2414174,bound_09h_1ns,True
862.0,1.3791492,5.3423834,bound_09h_1ns,True
864.0,1.6156714,5.2788773,bound_09h_1ns,True
866.0,1.8349606,5.2452955,bound_09h_1ns,True
868.0,1.7782897,5.24506,bound_09h_1ns,True
870.0,1.4388669,5.2844315,bound_09h_1ns,True
872.0,1.4552343,5.3250957,bound_09h_1ns,True
874.0,1.3293917,5.2624702,bound_09h_1ns,True
876.0,1.4635248,5.3023286,bound_09h_1ns,True
878.0,1.622362,5.182249,bound_09h_1ns,True
880.0,1.6214389,5.174511,bound_09h_1ns,True
882.0,1.6022104,5.1898956,bound_09h_1ns,True
884.0,1.4439955,5.253625,bound_09h_1ns,True
886.0,1.4047799,5.2387385,bound_09h_1ns,True
888.0,1.3510063,5.207539,bound_09h_1ns,True
890.0,1.5424712,5.345254,bound_09h_1ns,True
892.0,1.6230379,5.25957,bound_09h_1ns,True
894.0,1.3247375,5.266457,bound_09h_1ns,True
896.0,1.364327,5.344658,bound_09h_1ns,True
898.0,1.6123892,5.3234367,bound_09h_1ns,True
900.0,1.4283864,5.2554393,bound_09h_1ns,True
902.0,1.4650879,5.2455616,bound_09h_1ns,True
904.0,1.5477443,5.221212,bound_09h_1ns,True
906.0,1.6697668,5.1995077,bound_09h_1ns,True
908.0,1.6195124,5.1438894,bound_09h_1ns,True
910.0,1.7035581,5.2658005,bound_09h_1ns,True
912.0,1.6904991,5.1644077,bound_09h_1ns,True
914.0,1.5067719,5.240405,bound_09h_1ns,True
916.0,1.5653346,5.252078,bound_09h_1ns,True
918.0,1.5349355,5.22824,bound_09h_1ns,True
920.0,1.5702881,5.0565195,bound_09h_1ns,True
922.0,1.8371198,5.1390405,bound_09h_1ns,True
924.0,1.8255093,5.231767,bound_09h_1ns,True
926.0,2.0441642,5.1869307,bound_09h_1ns,True
928.0,1.8684298,5.309163,bound_09h_1ns,True
930.0,1.5131383,5.2675695,bound_09h_1ns,True
932.0,1.6090963,5.2189465,bound_09h_1ns,True
934.0,1.7052395,5.2217746,bound_09h_1ns,True
936.0,1.6532369,5.3072906,bound_09h_1ns,True
938.0,1.501034,5.2294154,bound_09h_1ns,True
940.0,1.601232,5.3240275,bound_09h_1ns,True
942.0,1.4467261,5.396273,bound_09h_1ns,True
944.0,1.3619249,5.330894,bound_09h_1ns,True
946.0,1.4620036,5.293749,bound_09h_1ns,True
948.0,1.3552387,5.2724752,bound_09h_1ns,True
950.0,1.1355284,5.2729397,bound_09h_1ns,True
952.0,1.2119898,5.1837587,bound_09h_1ns,True
954.0,1.4075774,5.247589,bound_09h_1ns,True
956.0,1.5842801,5.3257174,bound_09h_1ns,True
958.0,1.3695525,5.222914,bound_09h_1ns,True
960.0,1.5123166,5.2491665,bound_09h_1ns,True
962.0,1.489492,5.0856457,bound_09h_1ns,True
964.0,1.4708071,5.2256403,bound_09h_1ns,True
966.0,1.5419012,5.3056936,bound_09h_1ns,True
968.0,1.6528206,5.289285,bound_09h_1ns,True
970.0,1.5013115,5.2768235,bound_09h_1ns,True
972.0,1.6774423,5.3439617,bound_09h_1ns,True
974.0,1.447754,5.3552103,bound_09h_1ns,True
976.0,1.731754,5.2377076,bound_09h_1ns,True
978.0,1.7129594,5.2209606,bound_09h_1ns,True
980.0,1.4820065,5.1536827,bound_09h_1ns,True
982.0,1.459663,5.2337675,bound_09h_1ns,True
984.0,1.4644064,5.1843376,bound_09h_1ns,True
986.0,1.5807366,5.196823,bound_09h_1ns,True
988.0,1.4458348,5.2303166,bound_09h_1ns,True
990.0,1.4752624,5.1885176,bound_09h_1ns,True
992.0,1.3578973,5.2356205,bound_09h_1ns,True
994.0,1.5278735,5.211652,bound_09h_1ns,True
996.0,1.3790777,5.2033,bound_09h_1ns,True
998.0,1.4505422,5.260728,bound_09h_1ns,True
1000.0,1.3070065,5.269414,bound_09h_1ns,True
10.0,1.4179606,5.1896877,replica_01_seed20260921,False
20.0,1.7114342,5.2722254,replica_01_seed20260921,False
30.0,1.298554,5.294149,replica_01_seed20260921,False
40.0,2.0565472,5.19561,replica_01_seed20260921,False
