time_ps,RMSD_conformation_A,heavy_geometric_radius_A,protein_CA_RMSD_A,ligand_EGFR_fit_RMSD_A,site_center_distance_A,series,included
1570.0,1.5868814,5.2705536,4.6657667,3.3597112,1.1910486,replica_01_seed20260931,False
1580.0,1.4822266,5.236741,4.6985874,3.2777228,1.2472569,replica_01_seed20260931,False
1590.0,1.3832827,5.2326612,4.466202,2.90429,1.7534838,replica_01_seed20260931,False
1600.0,1.4278399,5.2777834,4.5256777,3.0483963,1.6401916,replica_01_seed20260931,False
1610.0,1.5142682,5.2909746,4.5734024,2.9760695,1.4522514,replica_01_seed20260931,False
1620.0,1.8178759,5.3239493,4.5275345,3.6485198,0.74752057,replica_01_seed20260931,False
1630.0,1.6677456,5.157036,4.3358226,3.0400152,1.2296281,replica_01_seed20260931,False
1640.0,1.7391158,5.3137307,4.3629417,3.7350826,0.36374494,replica_01_seed20260931,False
1650.0,1.7349956,5.1119356,4.297716,3.9877853,0.8939216,replica_01_seed20260931,False
1660.0,1.7292391,5.1816363,4.1005216,3.5496497,0.75936323,replica_01_seed20260931,False
1670.0,1.6734674,5.342593,4.1525702,4.5800805,0.40191725,replica_01_seed20260931,False
1680.0,1.6517903,5.2459693,3.9949145,3.9339435,0.3402418,replica_01_seed20260931,False
1690.0,1.6599216,5.228824,4.107178,4.33932,0.48173928,replica_01_seed20260931,False
1700.0,1.676795,5.280225,3.933988,4.187086,0.3778882,replica_01_seed20260931,False
1710.0,1.9153168,5.308049,4.082099,4.2988663,0.6902181,replica_01_seed20260931,False
1720.0,1.8440335,5.240712,4.186717,4.1967564,0.470874,replica_01_seed20260931,False
1730.0,1.8188967,5.24585,4.130314,4.214102,0.44621348,replica_01_seed20260931,False
1740.0,1.8128754,5.186419,4.156322,3.9601045,0.22531754,replica_01_seed20260931,False
1750.0,1.5853202,5.214205,4.2301536,4.045773,0.20185748,replica_01_seed20260931,False
1760.0,1.8179047,5.3100867,4.29343,4.357577,0.51054466,replica_01_seed20260931,False
1770.0,1.9135517,5.291922,4.1994762,4.249021,0.49202186,replica_01_seed20260931,False
1780.0,1.87714,5.335866,4.303401,3.6401424,0.53546256,replica_01_seed20260931,False
1790.0,1.9394507,5.2826624,4.049737,3.83995,0.2719363,replica_01_seed20260931,False
1800.0,1.8525693,5.266888,4.0335293,4.1069307,0.17520623,replica_01_seed20260931,False
1810.0,1.7087128,5.319674,4.034676,4.070122,0.85396063,replica_01_seed20260931,False
1820.0,1.744376,5.3527384,3.9501405,4.1090918,0.35401642,replica_01_seed20260931,False
1830.0,1.8182456,5.2369947,3.9916694,3.8901095,0.92703426,replica_01_seed20260931,False
1840.0,1.7314942,5.417433,4.0206017,4.034587,0.2573482,replica_01_seed20260931,False
